drug_id,drug_name,drug_slug,drug_class,class_id,class_slug,system,system_slug,problem_area,problem_slug,mechanism,mechanism_short,exam_use,side_effects,exam_hint,related_drugs,related_classes,is_key_example,revision_priority,tags,flashcard_front,flashcard_back,mcq_question,mcq_correct_answer,disclaimer
D0001,cetirizine,cetirizine,Antihistamine,Cantihistamine,antihistamine,Allergy,allergy,"Allergic rhinitis, urticaria and sedation concepts",allergic-rhinitis,Blocks H1 histamine receptors.,Blocks H1 histamine receptors.,"Allergy symptoms, itching, motion sickness/sedation concepts depending on drug.","Drowsiness more with first-generation drugs, dry mouth, dizziness.",High-yield: first-generation H1 blockers are sedating and anticholinergic.,"cetirizine, levocetirizine, loratadine, desloratadine, fexofenadine, diphenhydramine, chlorpheniramine, promethazine",,Yes,High,"cetirizine | Antihistamine | Allergy | Allergic rhinitis, urticaria and sedation concepts | Blocks H1 histamine receptors. | High-yield: first-generation H1 blockers are sedating and anticholinergic.",What is the drug class of cetirizine?,cetirizine belongs to Antihistamine. Mechanism theme: Blocks H1 histamine receptors.,cetirizine belongs to which drug class?,Antihistamine,Educational exam revision only. Not medical advice. No dosing or self-treatment guidance.
D0058,lumefantrine,lumefantrine,Antimalarial drug,Cantimalarial-drug,antimalarial-drug,Antimicrobial,antimicrobial,Malaria,malaria,"Acts on plasmodium heme metabolism, folate pathway or parasite proteins depending on drug.","Acts on plasmodium heme metabolism, folate pathway or parasite proteins depending on drug.",Malaria treatment/prophylaxis concepts.,"Hemolysis with primaquine in G6PD deficiency, cinchonism with quinine, retinal toxicity with chloroquine theme.",High-yield: artemisinin combinations are key modern antimalarial concepts.,"chloroquine, hydroxychloroquine, quinine, quinidine, artesunate, artemether, lumefantrine, mefloquine",,No,Core,"lumefantrine | Antimalarial drug | Antimicrobial | Malaria | Acts on plasmodium heme metabolism, folate pathway or parasite proteins depending on drug. | High-yield: artemisinin combinations are key modern antimalarial concepts.",What is the drug class of lumefantrine?,"lumefantrine belongs to Antimalarial drug. Mechanism theme: Acts on plasmodium heme metabolism, folate pathway or parasite proteins depending on drug.",lumefantrine belongs to which drug class?,Antimalarial drug,Educational exam revision only. Not medical advice. No dosing or self-treatment guidance.
D0059,mefloquine,mefloquine,Antimalarial drug,Cantimalarial-drug,antimalarial-drug,Antimicrobial,antimicrobial,Malaria,malaria,"Acts on plasmodium heme metabolism, folate pathway or parasite proteins depending on drug.","Acts on plasmodium heme metabolism, folate pathway or parasite proteins depending on drug.",Malaria treatment/prophylaxis concepts.,"Hemolysis with primaquine in G6PD deficiency, cinchonism with quinine, retinal toxicity with chloroquine theme.",High-yield: artemisinin combinations are key modern antimalarial concepts.,"chloroquine, hydroxychloroquine, quinine, quinidine, artesunate, artemether, lumefantrine, mefloquine",,No,Core,"mefloquine | Antimalarial drug | Antimicrobial | Malaria | Acts on plasmodium heme metabolism, folate pathway or parasite proteins depending on drug. | High-yield: artemisinin combinations are key modern antimalarial concepts.",What is the drug class of mefloquine?,"mefloquine belongs to Antimalarial drug. Mechanism theme: Acts on plasmodium heme metabolism, folate pathway or parasite proteins depending on drug.",mefloquine belongs to which drug class?,Antimalarial drug,Educational exam revision only. Not medical advice. No dosing or self-treatment guidance.
D0060,primaquine,primaquine,Antimalarial drug,Cantimalarial-drug,antimalarial-drug,Antimicrobial,antimicrobial,Malaria,malaria,"Acts on plasmodium heme metabolism, folate pathway or parasite proteins depending on drug.","Acts on plasmodium heme metabolism, folate pathway or parasite proteins depending on drug.",Malaria treatment/prophylaxis concepts.,"Hemolysis with primaquine in G6PD deficiency, cinchonism with quinine, retinal toxicity with chloroquine theme.",High-yield: artemisinin combinations are key modern antimalarial concepts.,"chloroquine, hydroxychloroquine, quinine, quinidine, artesunate, artemether, lumefantrine, mefloquine",,No,Core,"primaquine | Antimalarial drug | Antimicrobial | Malaria | Acts on plasmodium heme metabolism, folate pathway or parasite proteins depending on drug. | High-yield: artemisinin combinations are key modern antimalarial concepts.",What is the drug class of primaquine?,"primaquine belongs to Antimalarial drug. Mechanism theme: Acts on plasmodium heme metabolism, folate pathway or parasite proteins depending on drug.",primaquine belongs to which drug class?,Antimalarial drug,Educational exam revision only. Not medical advice. No dosing or self-treatment guidance.
D0061,pyrimethamine,pyrimethamine,Antimalarial drug,Cantimalarial-drug,antimalarial-drug,Antimicrobial,antimicrobial,Malaria,malaria,"Acts on plasmodium heme metabolism, folate pathway or parasite proteins depending on drug.","Acts on plasmodium heme metabolism, folate pathway or parasite proteins depending on drug.",Malaria treatment/prophylaxis concepts.,"Hemolysis with primaquine in G6PD deficiency, cinchonism with quinine, retinal toxicity with chloroquine theme.",High-yield: artemisinin combinations are key modern antimalarial concepts.,"chloroquine, hydroxychloroquine, quinine, quinidine, artesunate, artemether, lumefantrine, mefloquine",,No,Core,"pyrimethamine | Antimalarial drug | Antimicrobial | Malaria | Acts on plasmodium heme metabolism, folate pathway or parasite proteins depending on drug. | High-yield: artemisinin combinations are key modern antimalarial concepts.",What is the drug class of pyrimethamine?,"pyrimethamine belongs to Antimalarial drug. Mechanism theme: Acts on plasmodium heme metabolism, folate pathway or parasite proteins depending on drug.",pyrimethamine belongs to which drug class?,Antimalarial drug,Educational exam revision only. Not medical advice. No dosing or self-treatment guidance.
D0062,quinidine,quinidine,Antimalarial drug,Cantimalarial-drug,antimalarial-drug,Antimicrobial,antimicrobial,Malaria,malaria,"Acts on plasmodium heme metabolism, folate pathway or parasite proteins depending on drug.","Acts on plasmodium heme metabolism, folate pathway or parasite proteins depending on drug.",Malaria treatment/prophylaxis concepts.,"Hemolysis with primaquine in G6PD deficiency, cinchonism with quinine, retinal toxicity with chloroquine theme.",High-yield: artemisinin combinations are key modern antimalarial concepts.,"chloroquine, hydroxychloroquine, quinine, quinidine, artesunate, artemether, lumefantrine, mefloquine",,No,Core,"quinidine | Antimalarial drug | Antimicrobial | Malaria | Acts on plasmodium heme metabolism, folate pathway or parasite proteins depending on drug. | High-yield: artemisinin combinations are key modern antimalarial concepts.",What is the drug class of quinidine?,"quinidine belongs to Antimalarial drug. Mechanism theme: Acts on plasmodium heme metabolism, folate pathway or parasite proteins depending on drug.",quinidine belongs to which drug class?,Antimalarial drug,Educational exam revision only. Not medical advice. No dosing or self-treatment guidance.
D0063,quinine,quinine,Antimalarial drug,Cantimalarial-drug,antimalarial-drug,Antimicrobial,antimicrobial,Malaria,malaria,"Acts on plasmodium heme metabolism, folate pathway or parasite proteins depending on drug.","Acts on plasmodium heme metabolism, folate pathway or parasite proteins depending on drug.",Malaria treatment/prophylaxis concepts.,"Hemolysis with primaquine in G6PD deficiency, cinchonism with quinine, retinal toxicity with chloroquine theme.",High-yield: artemisinin combinations are key modern antimalarial concepts.,"chloroquine, hydroxychloroquine, quinine, quinidine, artesunate, artemether, lumefantrine, mefloquine",,Yes,High,"quinine | Antimalarial drug | Antimicrobial | Malaria | Acts on plasmodium heme metabolism, folate pathway or parasite proteins depending on drug. | High-yield: artemisinin combinations are key modern antimalarial concepts.",What is the drug class of quinine?,"quinine belongs to Antimalarial drug. Mechanism theme: Acts on plasmodium heme metabolism, folate pathway or parasite proteins depending on drug.",quinine belongs to which drug class?,Antimalarial drug,Educational exam revision only. Not medical advice. No dosing or self-treatment guidance.
D0064,sulfadoxine-pyrimethamine,sulfadoxine-pyrimethamine,Antimalarial drug,Cantimalarial-drug,antimalarial-drug,Antimicrobial,antimicrobial,Malaria,malaria,"Acts on plasmodium heme metabolism, folate pathway or parasite proteins depending on drug.","Acts on plasmodium heme metabolism, folate pathway or parasite proteins depending on drug.",Malaria treatment/prophylaxis concepts.,"Hemolysis with primaquine in G6PD deficiency, cinchonism with quinine, retinal toxicity with chloroquine theme.",High-yield: artemisinin combinations are key modern antimalarial concepts.,"chloroquine, hydroxychloroquine, quinine, quinidine, artesunate, artemether, lumefantrine, mefloquine",,No,Core,"sulfadoxine-pyrimethamine | Antimalarial drug | Antimicrobial | Malaria | Acts on plasmodium heme metabolism, folate pathway or parasite proteins depending on drug. | High-yield: artemisinin combinations are key modern antimalarial concepts.",What is the drug class of sulfadoxine-pyrimethamine?,"sulfadoxine-pyrimethamine belongs to Antimalarial drug. Mechanism theme: Acts on plasmodium heme metabolism, folate pathway or parasite proteins depending on drug.",sulfadoxine-pyrimethamine belongs to which drug class?,Antimalarial drug,Educational exam revision only. Not medical advice. No dosing or self-treatment guidance.
D0065,bedaquiline,bedaquiline,Antitubercular drug,Cantitubercular-drug,antitubercular-drug,Antimicrobial,antimicrobial,Tuberculosis,tuberculosis,"Targets mycobacterial cell wall synthesis, RNA synthesis or other TB-specific pathways depending on drug.","Targets mycobacterial cell wall synthesis, RNA synthesis or other TB-specific pathways depending on drug.",Tuberculosis regimen concepts.,"Hepatotoxicity, neuropathy with isoniazid, orange secretions with rifampicin, optic neuritis with ethambutol.","High-yield: RIPE = rifampicin/rifampin, isoniazid, pyrazinamide, ethambutol.","isoniazid, rifampicin, rifampin, pyrazinamide, ethambutol, streptomycin, rifabutin, ethionamide",,No,Core,"bedaquiline | Antitubercular drug | Antimicrobial | Tuberculosis | Targets mycobacterial cell wall synthesis, RNA synthesis or other TB-specific pathways depending on drug. | High-yield: RIPE = rifampicin/rifampin, isoniazid, pyrazinamide, ethambutol.",What is the drug class of bedaquiline?,"bedaquiline belongs to Antitubercular drug. Mechanism theme: Targets mycobacterial cell wall synthesis, RNA synthesis or other TB-specific pathways depending on drug.",bedaquiline belongs to which drug class?,Antitubercular drug,Educational exam revision only. Not medical advice. No dosing or self-treatment guidance.
D0066,cycloserine,cycloserine,Antitubercular drug,Cantitubercular-drug,antitubercular-drug,Antimicrobial,antimicrobial,Tuberculosis,tuberculosis,"Targets mycobacterial cell wall synthesis, RNA synthesis or other TB-specific pathways depending on drug.","Targets mycobacterial cell wall synthesis, RNA synthesis or other TB-specific pathways depending on drug.",Tuberculosis regimen concepts.,"Hepatotoxicity, neuropathy with isoniazid, orange secretions with rifampicin, optic neuritis with ethambutol.","High-yield: RIPE = rifampicin/rifampin, isoniazid, pyrazinamide, ethambutol.","isoniazid, rifampicin, rifampin, pyrazinamide, ethambutol, streptomycin, rifabutin, ethionamide",,No,Core,"cycloserine | Antitubercular drug | Antimicrobial | Tuberculosis | Targets mycobacterial cell wall synthesis, RNA synthesis or other TB-specific pathways depending on drug. | High-yield: RIPE = rifampicin/rifampin, isoniazid, pyrazinamide, ethambutol.",What is the drug class of cycloserine?,"cycloserine belongs to Antitubercular drug. Mechanism theme: Targets mycobacterial cell wall synthesis, RNA synthesis or other TB-specific pathways depending on drug.",cycloserine belongs to which drug class?,Antitubercular drug,Educational exam revision only. Not medical advice. No dosing or self-treatment guidance.
D0067,ethambutol,ethambutol,Antitubercular drug,Cantitubercular-drug,antitubercular-drug,Antimicrobial,antimicrobial,Tuberculosis,tuberculosis,"Targets mycobacterial cell wall synthesis, RNA synthesis or other TB-specific pathways depending on drug.","Targets mycobacterial cell wall synthesis, RNA synthesis or other TB-specific pathways depending on drug.",Tuberculosis regimen concepts.,"Hepatotoxicity, neuropathy with isoniazid, orange secretions with rifampicin, optic neuritis with ethambutol.","High-yield: RIPE = rifampicin/rifampin, isoniazid, pyrazinamide, ethambutol.","isoniazid, rifampicin, rifampin, pyrazinamide, ethambutol, streptomycin, rifabutin, ethionamide",,No,Core,"ethambutol | Antitubercular drug | Antimicrobial | Tuberculosis | Targets mycobacterial cell wall synthesis, RNA synthesis or other TB-specific pathways depending on drug. | High-yield: RIPE = rifampicin/rifampin, isoniazid, pyrazinamide, ethambutol.",What is the drug class of ethambutol?,"ethambutol belongs to Antitubercular drug. Mechanism theme: Targets mycobacterial cell wall synthesis, RNA synthesis or other TB-specific pathways depending on drug.",ethambutol belongs to which drug class?,Antitubercular drug,Educational exam revision only. Not medical advice. No dosing or self-treatment guidance.
D0068,ethionamide,ethionamide,Antitubercular drug,Cantitubercular-drug,antitubercular-drug,Antimicrobial,antimicrobial,Tuberculosis,tuberculosis,"Targets mycobacterial cell wall synthesis, RNA synthesis or other TB-specific pathways depending on drug.","Targets mycobacterial cell wall synthesis, RNA synthesis or other TB-specific pathways depending on drug.",Tuberculosis regimen concepts.,"Hepatotoxicity, neuropathy with isoniazid, orange secretions with rifampicin, optic neuritis with ethambutol.","High-yield: RIPE = rifampicin/rifampin, isoniazid, pyrazinamide, ethambutol.","isoniazid, rifampicin, rifampin, pyrazinamide, ethambutol, streptomycin, rifabutin, ethionamide",,No,Core,"ethionamide | Antitubercular drug | Antimicrobial | Tuberculosis | Targets mycobacterial cell wall synthesis, RNA synthesis or other TB-specific pathways depending on drug. | High-yield: RIPE = rifampicin/rifampin, isoniazid, pyrazinamide, ethambutol.",What is the drug class of ethionamide?,"ethionamide belongs to Antitubercular drug. Mechanism theme: Targets mycobacterial cell wall synthesis, RNA synthesis or other TB-specific pathways depending on drug.",ethionamide belongs to which drug class?,Antitubercular drug,Educational exam revision only. Not medical advice. No dosing or self-treatment guidance.
D0069,isoniazid,isoniazid,Antitubercular drug,Cantitubercular-drug,antitubercular-drug,Antimicrobial,antimicrobial,Tuberculosis,tuberculosis,"Targets mycobacterial cell wall synthesis, RNA synthesis or other TB-specific pathways depending on drug.","Targets mycobacterial cell wall synthesis, RNA synthesis or other TB-specific pathways depending on drug.",Tuberculosis regimen concepts.,"Hepatotoxicity, neuropathy with isoniazid, orange secretions with rifampicin, optic neuritis with ethambutol.","High-yield: RIPE = rifampicin/rifampin, isoniazid, pyrazinamide, ethambutol.","isoniazid, rifampicin, rifampin, pyrazinamide, ethambutol, streptomycin, rifabutin, ethionamide",,Yes,High,"isoniazid | Antitubercular drug | Antimicrobial | Tuberculosis | Targets mycobacterial cell wall synthesis, RNA synthesis or other TB-specific pathways depending on drug. | High-yield: RIPE = rifampicin/rifampin, isoniazid, pyrazinamide, ethambutol.",What is the drug class of isoniazid?,"isoniazid belongs to Antitubercular drug. Mechanism theme: Targets mycobacterial cell wall synthesis, RNA synthesis or other TB-specific pathways depending on drug.",isoniazid belongs to which drug class?,Antitubercular drug,Educational exam revision only. Not medical advice. No dosing or self-treatment guidance.
D0070,para-aminosalicylic acid,para-aminosalicylic-acid,Antitubercular drug,Cantitubercular-drug,antitubercular-drug,Antimicrobial,antimicrobial,Tuberculosis,tuberculosis,"Targets mycobacterial cell wall synthesis, RNA synthesis or other TB-specific pathways depending on drug.","Targets mycobacterial cell wall synthesis, RNA synthesis or other TB-specific pathways depending on drug.",Tuberculosis regimen concepts.,"Hepatotoxicity, neuropathy with isoniazid, orange secretions with rifampicin, optic neuritis with ethambutol.","High-yield: RIPE = rifampicin/rifampin, isoniazid, pyrazinamide, ethambutol.","isoniazid, rifampicin, rifampin, pyrazinamide, ethambutol, streptomycin, rifabutin, ethionamide",,No,Core,"para-aminosalicylic acid | Antitubercular drug | Antimicrobial | Tuberculosis | Targets mycobacterial cell wall synthesis, RNA synthesis or other TB-specific pathways depending on drug. | High-yield: RIPE = rifampicin/rifampin, isoniazid, pyrazinamide, ethambutol.",What is the drug class of para-aminosalicylic acid?,"para-aminosalicylic acid belongs to Antitubercular drug. Mechanism theme: Targets mycobacterial cell wall synthesis, RNA synthesis or other TB-specific pathways depending on drug.",para-aminosalicylic acid belongs to which drug class?,Antitubercular drug,Educational exam revision only. Not medical advice. No dosing or self-treatment guidance.
D0071,pyrazinamide,pyrazinamide,Antitubercular drug,Cantitubercular-drug,antitubercular-drug,Antimicrobial,antimicrobial,Tuberculosis,tuberculosis,"Targets mycobacterial cell wall synthesis, RNA synthesis or other TB-specific pathways depending on drug.","Targets mycobacterial cell wall synthesis, RNA synthesis or other TB-specific pathways depending on drug.",Tuberculosis regimen concepts.,"Hepatotoxicity, neuropathy with isoniazid, orange secretions with rifampicin, optic neuritis with ethambutol.","High-yield: RIPE = rifampicin/rifampin, isoniazid, pyrazinamide, ethambutol.","isoniazid, rifampicin, rifampin, pyrazinamide, ethambutol, streptomycin, rifabutin, ethionamide",,No,Core,"pyrazinamide | Antitubercular drug | Antimicrobial | Tuberculosis | Targets mycobacterial cell wall synthesis, RNA synthesis or other TB-specific pathways depending on drug. | High-yield: RIPE = rifampicin/rifampin, isoniazid, pyrazinamide, ethambutol.",What is the drug class of pyrazinamide?,"pyrazinamide belongs to Antitubercular drug. Mechanism theme: Targets mycobacterial cell wall synthesis, RNA synthesis or other TB-specific pathways depending on drug.",pyrazinamide belongs to which drug class?,Antitubercular drug,Educational exam revision only. Not medical advice. No dosing or self-treatment guidance.
D0072,rifabutin,rifabutin,Antitubercular drug,Cantitubercular-drug,antitubercular-drug,Antimicrobial,antimicrobial,Tuberculosis,tuberculosis,"Targets mycobacterial cell wall synthesis, RNA synthesis or other TB-specific pathways depending on drug.","Targets mycobacterial cell wall synthesis, RNA synthesis or other TB-specific pathways depending on drug.",Tuberculosis regimen concepts.,"Hepatotoxicity, neuropathy with isoniazid, orange secretions with rifampicin, optic neuritis with ethambutol.","High-yield: RIPE = rifampicin/rifampin, isoniazid, pyrazinamide, ethambutol.","isoniazid, rifampicin, rifampin, pyrazinamide, ethambutol, streptomycin, rifabutin, ethionamide",,No,Core,"rifabutin | Antitubercular drug | Antimicrobial | Tuberculosis | Targets mycobacterial cell wall synthesis, RNA synthesis or other TB-specific pathways depending on drug. | High-yield: RIPE = rifampicin/rifampin, isoniazid, pyrazinamide, ethambutol.",What is the drug class of rifabutin?,"rifabutin belongs to Antitubercular drug. Mechanism theme: Targets mycobacterial cell wall synthesis, RNA synthesis or other TB-specific pathways depending on drug.",rifabutin belongs to which drug class?,Antitubercular drug,Educational exam revision only. Not medical advice. No dosing or self-treatment guidance.
D0073,rifampicin,rifampicin,Antitubercular drug,Cantitubercular-drug,antitubercular-drug,Antimicrobial,antimicrobial,Tuberculosis,tuberculosis,"Targets mycobacterial cell wall synthesis, RNA synthesis or other TB-specific pathways depending on drug.","Targets mycobacterial cell wall synthesis, RNA synthesis or other TB-specific pathways depending on drug.",Tuberculosis regimen concepts.,"Hepatotoxicity, neuropathy with isoniazid, orange secretions with rifampicin, optic neuritis with ethambutol.","High-yield: RIPE = rifampicin/rifampin, isoniazid, pyrazinamide, ethambutol.","isoniazid, rifampicin, rifampin, pyrazinamide, ethambutol, streptomycin, rifabutin, ethionamide",,Yes,High,"rifampicin | Antitubercular drug | Antimicrobial | Tuberculosis | Targets mycobacterial cell wall synthesis, RNA synthesis or other TB-specific pathways depending on drug. | High-yield: RIPE = rifampicin/rifampin, isoniazid, pyrazinamide, ethambutol.",What is the drug class of rifampicin?,"rifampicin belongs to Antitubercular drug. Mechanism theme: Targets mycobacterial cell wall synthesis, RNA synthesis or other TB-specific pathways depending on drug.",rifampicin belongs to which drug class?,Antitubercular drug,Educational exam revision only. Not medical advice. No dosing or self-treatment guidance.
D0074,rifampin,rifampin,Antitubercular drug,Cantitubercular-drug,antitubercular-drug,Antimicrobial,antimicrobial,Tuberculosis,tuberculosis,"Targets mycobacterial cell wall synthesis, RNA synthesis or other TB-specific pathways depending on drug.","Targets mycobacterial cell wall synthesis, RNA synthesis or other TB-specific pathways depending on drug.",Tuberculosis regimen concepts.,"Hepatotoxicity, neuropathy with isoniazid, orange secretions with rifampicin, optic neuritis with ethambutol.","High-yield: RIPE = rifampicin/rifampin, isoniazid, pyrazinamide, ethambutol.","isoniazid, rifampicin, rifampin, pyrazinamide, ethambutol, streptomycin, rifabutin, ethionamide",,Yes,High,"rifampin | Antitubercular drug | Antimicrobial | Tuberculosis | Targets mycobacterial cell wall synthesis, RNA synthesis or other TB-specific pathways depending on drug. | High-yield: RIPE = rifampicin/rifampin, isoniazid, pyrazinamide, ethambutol.",What is the drug class of rifampin?,"rifampin belongs to Antitubercular drug. Mechanism theme: Targets mycobacterial cell wall synthesis, RNA synthesis or other TB-specific pathways depending on drug.",rifampin belongs to which drug class?,Antitubercular drug,Educational exam revision only. Not medical advice. No dosing or self-treatment guidance.
D0075,streptomycin,streptomycin,Antitubercular drug,Cantitubercular-drug,antitubercular-drug,Antimicrobial,antimicrobial,Tuberculosis,tuberculosis,"Targets mycobacterial cell wall synthesis, RNA synthesis or other TB-specific pathways depending on drug.","Targets mycobacterial cell wall synthesis, RNA synthesis or other TB-specific pathways depending on drug.",Tuberculosis regimen concepts.,"Hepatotoxicity, neuropathy with isoniazid, orange secretions with rifampicin, optic neuritis with ethambutol.","High-yield: RIPE = rifampicin/rifampin, isoniazid, pyrazinamide, ethambutol.","isoniazid, rifampicin, rifampin, pyrazinamide, ethambutol, streptomycin, rifabutin, ethionamide",,No,Core,"streptomycin | Antitubercular drug | Antimicrobial | Tuberculosis | Targets mycobacterial cell wall synthesis, RNA synthesis or other TB-specific pathways depending on drug. | High-yield: RIPE = rifampicin/rifampin, isoniazid, pyrazinamide, ethambutol.",What is the drug class of streptomycin?,"streptomycin belongs to Antitubercular drug. Mechanism theme: Targets mycobacterial cell wall synthesis, RNA synthesis or other TB-specific pathways depending on drug.",streptomycin belongs to which drug class?,Antitubercular drug,Educational exam revision only. Not medical advice. No dosing or self-treatment guidance.
D0076,aciclovir,aciclovir,Antiviral drug,Cantiviral-drug,antiviral-drug,Antimicrobial,antimicrobial,Viral infection,viral-infection,Inhibits viral replication enzymes or viral entry/release depending on virus and drug.,Inhibits viral replication enzymes or viral entry/release depending on virus and drug.,"Herpes, influenza, hepatitis and HIV pharmacology concepts.","Kidney, liver, marrow or CNS effects depending on drug.",High-yield: acyclovir inhibits viral DNA polymerase after activation.,"acyclovir, aciclovir, valacyclovir, ganciclovir, valganciclovir, oseltamivir, zanamivir, remdesivir",,Yes,High,aciclovir | Antiviral drug | Antimicrobial | Viral infection | Inhibits viral replication enzymes or viral entry/release depending on virus and drug. | High-yield: acyclovir inhibits viral DNA polymerase after activation.,What is the drug class of aciclovir?,aciclovir belongs to Antiviral drug. Mechanism theme: Inhibits viral replication enzymes or viral entry/release depending on virus and drug.,aciclovir belongs to which drug class?,Antiviral drug,Educational exam revision only. Not medical advice. No dosing or self-treatment guidance.
D0077,acyclovir,acyclovir,Antiviral drug,Cantiviral-drug,antiviral-drug,Antimicrobial,antimicrobial,Viral infection,viral-infection,Inhibits viral replication enzymes or viral entry/release depending on virus and drug.,Inhibits viral replication enzymes or viral entry/release depending on virus and drug.,"Herpes, influenza, hepatitis and HIV pharmacology concepts.","Kidney, liver, marrow or CNS effects depending on drug.",High-yield: acyclovir inhibits viral DNA polymerase after activation.,"acyclovir, aciclovir, valacyclovir, ganciclovir, valganciclovir, oseltamivir, zanamivir, remdesivir",,Yes,High,acyclovir | Antiviral drug | Antimicrobial | Viral infection | Inhibits viral replication enzymes or viral entry/release depending on virus and drug. | High-yield: acyclovir inhibits viral DNA polymerase after activation.,What is the drug class of acyclovir?,acyclovir belongs to Antiviral drug. Mechanism theme: Inhibits viral replication enzymes or viral entry/release depending on virus and drug.,acyclovir belongs to which drug class?,Antiviral drug,Educational exam revision only. Not medical advice. No dosing or self-treatment guidance.
D0078,atazanavir,atazanavir,Antiviral drug,Cantiviral-drug,antiviral-drug,Antimicrobial,antimicrobial,Viral infection,viral-infection,Inhibits viral replication enzymes or viral entry/release depending on virus and drug.,Inhibits viral replication enzymes or viral entry/release depending on virus and drug.,"Herpes, influenza, hepatitis and HIV pharmacology concepts.","Kidney, liver, marrow or CNS effects depending on drug.",High-yield: acyclovir inhibits viral DNA polymerase after activation.,"acyclovir, aciclovir, valacyclovir, ganciclovir, valganciclovir, oseltamivir, zanamivir, remdesivir",,No,Core,atazanavir | Antiviral drug | Antimicrobial | Viral infection | Inhibits viral replication enzymes or viral entry/release depending on virus and drug. | High-yield: acyclovir inhibits viral DNA polymerase after activation.,What is the drug class of atazanavir?,atazanavir belongs to Antiviral drug. Mechanism theme: Inhibits viral replication enzymes or viral entry/release depending on virus and drug.,atazanavir belongs to which drug class?,Antiviral drug,Educational exam revision only. Not medical advice. No dosing or self-treatment guidance.
D0079,dolutegravir,dolutegravir,Antiviral drug,Cantiviral-drug,antiviral-drug,Antimicrobial,antimicrobial,Viral infection,viral-infection,Inhibits viral replication enzymes or viral entry/release depending on virus and drug.,Inhibits viral replication enzymes or viral entry/release depending on virus and drug.,"Herpes, influenza, hepatitis and HIV pharmacology concepts.","Kidney, liver, marrow or CNS effects depending on drug.",High-yield: acyclovir inhibits viral DNA polymerase after activation.,"acyclovir, aciclovir, valacyclovir, ganciclovir, valganciclovir, oseltamivir, zanamivir, remdesivir",,No,Core,dolutegravir | Antiviral drug | Antimicrobial | Viral infection | Inhibits viral replication enzymes or viral entry/release depending on virus and drug. | High-yield: acyclovir inhibits viral DNA polymerase after activation.,What is the drug class of dolutegravir?,dolutegravir belongs to Antiviral drug. Mechanism theme: Inhibits viral replication enzymes or viral entry/release depending on virus and drug.,dolutegravir belongs to which drug class?,Antiviral drug,Educational exam revision only. Not medical advice. No dosing or self-treatment guidance.
D0080,efavirenz,efavirenz,Antiviral drug,Cantiviral-drug,antiviral-drug,Antimicrobial,antimicrobial,Viral infection,viral-infection,Inhibits viral replication enzymes or viral entry/release depending on virus and drug.,Inhibits viral replication enzymes or viral entry/release depending on virus and drug.,"Herpes, influenza, hepatitis and HIV pharmacology concepts.","Kidney, liver, marrow or CNS effects depending on drug.",High-yield: acyclovir inhibits viral DNA polymerase after activation.,"acyclovir, aciclovir, valacyclovir, ganciclovir, valganciclovir, oseltamivir, zanamivir, remdesivir",,No,Core,efavirenz | Antiviral drug | Antimicrobial | Viral infection | Inhibits viral replication enzymes or viral entry/release depending on virus and drug. | High-yield: acyclovir inhibits viral DNA polymerase after activation.,What is the drug class of efavirenz?,efavirenz belongs to Antiviral drug. Mechanism theme: Inhibits viral replication enzymes or viral entry/release depending on virus and drug.,efavirenz belongs to which drug class?,Antiviral drug,Educational exam revision only. Not medical advice. No dosing or self-treatment guidance.
D0081,emtricitabine,emtricitabine,Antiviral drug,Cantiviral-drug,antiviral-drug,Antimicrobial,antimicrobial,Viral infection,viral-infection,Inhibits viral replication enzymes or viral entry/release depending on virus and drug.,Inhibits viral replication enzymes or viral entry/release depending on virus and drug.,"Herpes, influenza, hepatitis and HIV pharmacology concepts.","Kidney, liver, marrow or CNS effects depending on drug.",High-yield: acyclovir inhibits viral DNA polymerase after activation.,"acyclovir, aciclovir, valacyclovir, ganciclovir, valganciclovir, oseltamivir, zanamivir, remdesivir",,No,Core,emtricitabine | Antiviral drug | Antimicrobial | Viral infection | Inhibits viral replication enzymes or viral entry/release depending on virus and drug. | High-yield: acyclovir inhibits viral DNA polymerase after activation.,What is the drug class of emtricitabine?,emtricitabine belongs to Antiviral drug. Mechanism theme: Inhibits viral replication enzymes or viral entry/release depending on virus and drug.,emtricitabine belongs to which drug class?,Antiviral drug,Educational exam revision only. Not medical advice. No dosing or self-treatment guidance.
D0082,enfuvirtide,enfuvirtide,Antiviral drug,Cantiviral-drug,antiviral-drug,Antimicrobial,antimicrobial,Viral infection,viral-infection,Inhibits viral replication enzymes or viral entry/release depending on virus and drug.,Inhibits viral replication enzymes or viral entry/release depending on virus and drug.,"Herpes, influenza, hepatitis and HIV pharmacology concepts.","Kidney, liver, marrow or CNS effects depending on drug.",High-yield: acyclovir inhibits viral DNA polymerase after activation.,"acyclovir, aciclovir, valacyclovir, ganciclovir, valganciclovir, oseltamivir, zanamivir, remdesivir",,No,Core,enfuvirtide | Antiviral drug | Antimicrobial | Viral infection | Inhibits viral replication enzymes or viral entry/release depending on virus and drug. | High-yield: acyclovir inhibits viral DNA polymerase after activation.,What is the drug class of enfuvirtide?,enfuvirtide belongs to Antiviral drug. Mechanism theme: Inhibits viral replication enzymes or viral entry/release depending on virus and drug.,enfuvirtide belongs to which drug class?,Antiviral drug,Educational exam revision only. Not medical advice. No dosing or self-treatment guidance.
